Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,_1st_Road_Class,_1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,_2nd_Road_Class,_2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,_1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,make,model,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
2009350285509,523840,273900,-0.183277,52.349156,35,3,2,2,03/09/2009,5,00:01,393,E10000003,5,115,6,40,3,4,6,0,0,0,4,8,2,0,0,1,1,E01018146,1,9,0,9,0,6,0,0,0,0,3,1,2,2,5,1794,1,5,4,1,TOYOTA              ,AVENSIS T3-S               ,,,,,,,,,,,,
2009350285509,523840,273900,-0.183277,52.349156,35,3,2,2,03/09/2009,5,00:01,393,E10000003,5,115,6,40,3,4,6,0,0,0,4,8,2,0,0,1,1,E01018146,2,9,0,18,0,8,0,0,0,0,4,1,15,2,4,1299,1,15,3,1,FORD                ,FIESTA GHIA CVT            ,1,1,2,4,3,0,0,0,0,-1,9,1
2009350285509,523840,273900,-0.183277,52.349156,35,3,2,2,03/09/2009,5,00:01,393,E10000003,5,115,6,40,3,4,6,0,0,0,4,8,2,0,0,1,1,E01018146,2,9,0,18,0,8,0,0,0,0,4,1,15,2,4,1299,1,15,3,1,FORD                ,FIESTA GHIA CVT            ,2,2,1,6,3,0,0,1,0,-1,9,1
200901PY20598,537440,169760,-0.025179,51.410157,1,3,2,2,03/09/2009,5,00:10,19,E09000006,3,2015,6,30,6,2,3,2015,0,5,4,1,1,0,0,1,1,E01000714,1,9,0,9,0,8,0,0,0,0,4,1,15,1,5,2926,2,5,4,1,,,1,1,1,5,3,0,0,0,0,-1,9,1
200901PY20598,537440,169760,-0.025179,51.410157,1,3,2,2,03/09/2009,5,00:10,19,E09000006,3,2015,6,30,6,2,3,2015,0,5,4,1,1,0,0,1,1,E01000714,2,9,0,18,0,1,0,0,0,0,1,1,15,1,8,1997,2,8,5,1,CITROEN             ,XSARA PICASSO SX HDI       ,2,1,1,8,3,0,0,0,0,-1,9,1
2009620193575,317830,176460,-3.184714,51.481056,62,3,1,1,03/09/2009,5,00:29,741,W06000015,3,4161,6,30,0,-1,-1,0,0,0,4,5,2,4,0,1,1,W01001723,1,9,0,18,0,0,0,0,0,0,3,1,15,1,4,1388,1,5,-1,1,FORD                ,FIESTA FLAME               ,1,3,2,4,3,9,5,0,0,-1,0,1
200901YR90588,531890,189290,-0.097639,51.586985,1,3,2,1,03/09/2009,5,01:08,31,E09000014,3,504,6,30,3,4,6,0,0,0,4,8,2,0,0,1,1,E01002048,1,9,0,18,0,8,0,0,0,0,1,1,15,1,5,1390,1,13,5,1,VOLKSWAGEN          ,POLO 1.4 CL                ,1,2,1,8,3,0,0,2,0,-1,9,1
200901YR90588,531890,189290,-0.097639,51.586985,1,3,2,1,03/09/2009,5,01:08,31,E09000014,3,504,6,30,3,4,6,0,0,0,4,8,2,0,0,1,1,E01002048,2,9,0,9,0,8,0,0,0,0,3,1,15,1,7,1998,1,12,3,1,,,,,,,,,,,,,,
200901PY20599,537950,168710,-0.018259,51.400598,1,3,1,1,03/09/2009,5,02:28,19,E09000006,4,230,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01000770,1,9,0,18,0,2,0,10,1,10,1,1,15,1,6,-1,-1,-1,9,1,FORD                ,TRANSIT 80 SWB             ,1,1,1,6,3,0,0,0,0,-1,9,1
2009330905199,460440,308140,-1.107687,52.667584,33,3,1,1,03/09/2009,5,02:45,364,E06000016,3,607,3,30,6,2,3,563,0,5,4,5,2,0,0,1,1,E01013734,1,9,0,7,0,6,1,10,4,6,1,1,15,1,4,1998,1,11,6,1,MERCEDES            ,C200 ELEGANCE AUTO         ,1,2,1,4,3,0,0,2,0,-1,9,1
200901VK30269,521640,166870,-0.253234,51.387790,1,2,1,6,03/09/2009,5,03:07,23,E09000021,3,2043,6,30,0,-1,-1,0,0,0,4,1,2,0,7,1,1,E01002980,1,9,0,16,0,0,0,10,1,3,4,1,15,1,5,-1,-1,-1,-1,-1,,,1,2,2,4,3,0,0,1,0,-1,9,1
200901VK30269,521640,166870,-0.253234,51.387790,1,2,1,6,03/09/2009,5,03:07,23,E09000021,3,2043,6,30,0,-1,-1,0,0,0,4,1,2,0,7,1,1,E01002980,1,9,0,16,0,0,0,10,1,3,4,1,15,1,5,-1,-1,-1,-1,-1,,,2,2,2,4,2,0,0,2,0,-1,9,1
200901VK30269,521640,166870,-0.253234,51.387790,1,2,1,6,03/09/2009,5,03:07,23,E09000021,3,2043,6,30,0,-1,-1,0,0,0,4,1,2,0,7,1,1,E01002980,1,9,0,16,0,0,0,10,1,3,4,1,15,1,5,-1,-1,-1,-1,-1,,,3,2,2,4,2,0,0,2,0,-1,9,1
200901VK30269,521640,166870,-0.253234,51.387790,1,2,1,6,03/09/2009,5,03:07,23,E09000021,3,2043,6,30,0,-1,-1,0,0,0,4,1,2,0,7,1,1,E01002980,1,9,0,16,0,0,0,10,1,3,4,1,15,1,5,-1,-1,-1,-1,-1,,,4,2,2,4,3,0,0,1,0,-1,9,1
200901VK30269,521640,166870,-0.253234,51.387790,1,2,1,6,03/09/2009,5,03:07,23,E09000021,3,2043,6,30,0,-1,-1,0,0,0,4,1,2,0,7,1,1,E01002980,1,9,0,16,0,0,0,10,1,3,4,1,15,1,5,-1,-1,-1,-1,-1,,,5,2,2,4,3,0,0,2,0,-1,9,1
200901VK30269,521640,166870,-0.253234,51.387790,1,2,1,6,03/09/2009,5,03:07,23,E09000021,3,2043,6,30,0,-1,-1,0,0,0,4,1,2,0,7,1,1,E01002980,1,9,0,16,0,0,0,10,1,3,4,1,15,1,5,-1,-1,-1,-1,-1,,,6,1,1,5,3,0,0,0,0,-1,9,-1
200945TA42878,536650,151830,-0.043404,51.249218,45,3,1,1,03/09/2009,5,03:08,516,E10000030,3,25,6,50,1,4,5,83,0,0,6,1,1,0,0,2,1,E01030838,1,9,0,18,0,1,0,0,0,0,1,1,15,1,7,1796,1,3,3,1,SEAT                ,IBIZA FR T 150             ,1,1,1,7,3,0,0,0,0,-1,9,1
2009030002241,350160,530640,-2.774289,54.668374,3,3,5,1,03/09/2009,5,03:35,64,E10000006,1,6,3,70,0,-1,-1,0,0,0,6,2,2,4,0,2,1,E01019335,1,21,1,18,0,0,0,0,0,0,1,1,1,1,8,11967,2,1,-1,3,MERCEDES            ,                           ,,,,,,,,,,,,
2009030002241,350160,530640,-2.774289,54.668374,3,3,5,1,03/09/2009,5,03:35,64,E10000006,1,6,3,70,0,-1,-1,0,0,0,6,2,2,4,0,2,1,E01019335,2,21,0,18,0,0,5,0,0,0,2,1,1,1,8,6000,1,37,-1,3,,,1,1,1,8,3,0,0,0,0,-1,21,3
2009030002241,350160,530640,-2.774289,54.668374,3,3,5,1,03/09/2009,5,03:35,64,E10000006,1,6,3,70,0,-1,-1,0,0,0,6,2,2,4,0,2,1,E01019335,3,19,0,2,0,0,0,0,0,0,4,1,1,1,7,2402,2,2,7,1,FORD                ,TRANSIT 115 T350L D/C RWD  ,,,,,,,,,,,,
2009030002241,350160,530640,-2.774289,54.668374,3,3,5,1,03/09/2009,5,03:35,64,E10000006,1,6,3,70,0,-1,-1,0,0,0,6,2,2,4,0,2,1,E01019335,4,21,1,18,0,0,0,0,0,0,3,2,1,1,7,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
2009030002241,350160,530640,-2.774289,54.668374,3,3,5,1,03/09/2009,5,03:35,64,E10000006,1,6,3,70,0,-1,-1,0,0,0,6,2,2,4,0,2,1,E01019335,5,21,1,18,0,0,0,0,0,0,4,1,1,1,7,-1,-1,-1,-1,2,,,,,,,,,,,,,,
2009460176512,561310,141020,0.304800,51.145655,46,3,1,1,03/09/2009,5,04:10,543,E10000016,3,21,6,60,0,-1,-1,0,0,0,6,5,1,0,0,2,1,E01024839,1,9,0,16,0,0,1,0,1,4,1,1,15,1,6,2198,1,8,1,1,,,1,1,1,6,3,0,0,0,0,-1,9,1
2009350285809,546240,258860,0.138840,52.208523,35,2,1,2,03/09/2009,5,05:13,390,E10000003,3,1134,3,30,0,-1,-1,0,0,0,4,5,2,0,0,1,1,E01017943,1,9,0,16,0,0,2,0,4,6,3,1,15,1,6,1998,1,6,4,2,TOYOTA              ,RAV4 GX VVTI               ,1,2,1,5,2,0,0,1,0,-1,9,1
2009350285809,546240,258860,0.138840,52.208523,35,2,1,2,03/09/2009,5,05:13,390,E10000003,3,1134,3,30,0,-1,-1,0,0,0,4,5,2,0,0,1,1,E01017943,1,9,0,16,0,0,2,0,4,6,3,1,15,1,6,1998,1,6,4,2,TOYOTA              ,RAV4 GX VVTI               ,2,1,1,6,3,0,0,0,0,-1,9,2
20093102C2879,453530,343550,-1.204062,52.986601,31,3,1,1,03/09/2009,5,05:18,346,E06000018,3,610,1,30,1,2,4,6008,0,5,4,2,2,0,0,1,1,E01013825,1,9,0,16,0,8,1,0,1,1,4,1,2,1,4,1997,2,10,-1,-1,PEUGEOT             ,306 MERIDIAN HDI (90)      ,1,1,1,4,3,0,0,0,0,-1,9,-1
200930B000418,422570,381410,-1.662576,53.329116,30,2,2,4,03/09/2009,5,05:29,329,E10000007,3,6187,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01019614,1,9,0,16,0,0,1,10,0,0,1,1,15,1,-1,3201,1,11,-1,-1,BMW                 ,M ROADSTER                 ,1,1,1,-1,2,0,0,0,0,-1,9,-1
200930B000418,422570,381410,-1.662576,53.329116,30,2,2,4,03/09/2009,5,05:29,329,E10000007,3,6187,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01019614,1,9,0,16,0,0,1,10,0,0,1,1,15,1,-1,3201,1,11,-1,-1,BMW                 ,M ROADSTER                 ,2,2,1,6,3,0,0,2,0,-1,9,1
200930B000418,422570,381410,-1.662576,53.329116,30,2,2,4,03/09/2009,5,05:29,329,E10000007,3,6187,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01019614,1,9,0,16,0,0,1,10,0,0,1,1,15,1,-1,3201,1,11,-1,-1,BMW                 ,M ROADSTER                 ,3,2,2,5,2,0,0,1,0,-1,9,2
200930B000418,422570,381410,-1.662576,53.329116,30,2,2,4,03/09/2009,5,05:29,329,E10000007,3,6187,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01019614,2,9,4,17,0,0,0,10,0,0,1,1,15,2,8,2926,2,4,8,2,LAND ROVER          ,RANGEROVER TD6 VOGUE SE A  ,4,1,2,8,3,0,0,0,0,-1,9,2
200943S024099,479660,239700,-0.839754,52.049934,43,3,1,1,03/09/2009,5,05:40,479,E06000042,5,129,1,60,1,4,5,8001,0,0,4,1,2,0,0,1,1,E01016812,1,9,0,18,0,8,0,0,0,0,1,1,1,1,9,1997,1,6,2,1,,,1,1,1,9,3,0,0,0,0,-1,9,1
2009520908091,371700,181980,-2.409434,51.535959,52,3,1,1,03/09/2009,5,05:46,612,E06000025,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01015012,1,9,0,18,0,0,0,7,0,0,1,1,15,1,6,-1,-1,-1,7,1,,,1,1,1,6,3,0,0,0,0,-1,9,1
200930A000541,447820,335920,-1.290236,52.918556,30,3,1,1,03/09/2009,5,05:55,324,E10000007,3,52,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01019695,1,9,0,18,0,0,1,0,1,7,3,1,2,1,6,1794,1,8,9,1,,,1,1,1,6,3,0,0,0,0,-1,9,1
200997NA01609,272670,663150,-4.035155,55.844746,97,3,1,1,03/09/2009,5,06:00,932,S12000044,3,8,3,60,0,-1,-1,0,0,0,4,2,2,0,0,1,1,,1,9,0,11,0,0,1,0,1,10,1,1,2,1,6,1896,2,11,-1,-1,SEAT                ,IBIZA 1.9 TDI              ,1,1,1,6,3,0,0,0,0,-1,9,1
2009160D04800,508340,432630,-0.357341,53.778731,16,2,2,1,03/09/2009,5,06:15,228,E06000010,3,1079,3,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01012881,1,9,0,7,0,6,0,0,0,0,1,1,15,1,7,2171,2,10,1,1,VAUXHALL            ,FRONTERA SPORT DTI         ,,,,,,,,,,,,
