id,Code,Label
0,S12000033,Aberdeen City
1,S12000034,Aberdeenshire
2,S12000041,Angus
3,S12000035,Argyll & Bute
4,E09000002,Barking and Dagenham
5,E09000003,Barnet
6,E08000016,Barnsley
7,E06000022,Bath and North East Somerset
8,E06000055,Bedford
9,E09000004,Bexley
10,E08000025,Birmingham
11,E06000008,Blackburn with Darwen
12,E06000009,Blackpool
13,W06000019,Blaenau Gwent
14,E08000001,Bolton
15,E06000028,Bournemouth
16,E06000036,Bracknell Forest
17,E08000032,Bradford
18,E09000005,Brent
19,W06000013,Bridgend
20,E06000043,Brighton and Hove
21,E06000023,Bristol, City of
22,E09000006,Bromley
23,E10000002,Buckinghamshire
24,E08000002,Bury
25,W06000018,Caerphilly
26,E08000033,Calderdale
27,E10000003,Cambridgeshire
28,E09000007,Camden
29,W06000015,Cardiff
30,W06000010,Carmarthenshire
31,E06000056,Central Bedfordshire
32,W06000008,Ceredigion
33,E06000049,Cheshire East
34,E06000050,Cheshire West and Chester
35,E09000001,City of London
36,S12000005,Clackmannanshire
37,W06000003,Conwy
38,E06000052,Cornwall
39,E06000047,County Durham
40,E08000026,Coventry
41,E09000008,Croydon
42,E10000006,Cumbria
43,E06000005,Darlington
44,W06000004,Denbighshire
45,E06000015,Derby
46,E10000007,Derbyshire
47,E10000008,Devon
48,E08000017,Doncaster
49,E10000009,Dorset
50,E08000027,Dudley
51,S12000006,Dumfries & Galloway
52,S12000042,Dundee City
53,E09000009,Ealing
54,S12000008,East Ayrshire
55,S12000009,East Dunbartonshire
56,S12000010,East Lothian
57,S12000011,East Renfrewshire
58,E06000011,East Riding of Yorkshire
59,E10000011,East Sussex
60,S12000036,Edinburgh, City of
61,E09000010,Enfield
62,E10000012,Essex
63,S12000014,Falkirk
64,S12000015,Fife
65,W06000005,Flintshire
66,E08000020,Gateshead
67,S12000043,Glasgow City
68,E10000013,Gloucestershire
69,E09000011,Greenwich
70,W06000002,Gwynedd
71,E09000012,Hackney
72,E06000006,Halton
73,E09000013,Hammersmith and Fulham
74,E10000014,Hampshire
75,E09000014,Haringey
76,E09000015,Harrow
77,E06000001,Hartlepool
78,E09000016,Havering
79,E06000019,Herefordshire, County of 
80,E10000015,Hertfordshire
81,S12000017,Highland
82,E09000017,Hillingdon
83,E09000018,Hounslow
84,S12000018,Inverclyde
85,W06000001,Isle of Anglesey
86,E06000046,Isle of Wight
87,E06000053,Isles of Scilly
88,E09000019,Islington
89,E09000020,Kensington and Chelsea
90,E10000016,Kent
91,E06000010,Kingston upon Hull, City of
92,E09000021,Kingston upon Thames
93,E08000034,Kirklees
94,E08000011,Knowsley
95,E09000022,Lambeth
96,E10000017,Lancashire
97,E08000035,Leeds
98,E06000016,Leicester
99,E10000018,Leicestershire
100,E09000023,Lewisham
101,E10000019,Lincolnshire
102,E08000012,Liverpool
103,EHEATHROW,London Airport (Heathrow)
104,E06000032,Luton
105,E08000003,Manchester
106,E06000035,Medway
107,W06000024,Merthyr Tydfil
108,E09000024,Merton
109,E06000002,Middlesbrough
110,S12000019,Midlothian
111,E06000042,Milton Keynes
112,W06000021,Monmouthshire
113,S12000020,Moray
114,S12000013,Na h-Eileanan an Iar (Western Isles)
115,W06000012,Neath Port Talbot
116,E08000021,Newcastle upon Tyne
117,E09000025,Newham
118,W06000022,Newport
119,E10000020,Norfolk
120,S12000021,North Ayrshire
121,E06000012,North East Lincolnshire
122,S12000044,North Lanarkshire
123,E06000013,North Lincolnshire
124,E06000024,North Somerset
125,E08000022,North Tyneside
126,E10000023,North Yorkshire
127,E10000021,Northamptonshire
128,E06000048,Northumberland
129,E06000018,Nottingham
130,E10000024,Nottinghamshire
131,E08000004,Oldham
132,S12000023,Orkney Islands
133,E10000025,Oxfordshire
134,W06000009,Pembrokeshire
135,S12000024,Perth and Kinross
136,E06000031,Peterborough
137,E06000026,Plymouth
138,E06000029,Poole
139,E06000044,Portsmouth
140,W06000023,Powys
141,E06000038,Reading
142,E09000026,Redbridge
143,E06000003,Redcar and Cleveland
144,S12000038,Renfrewshire
145,W06000016,Rhondda, Cynon, Taff
146,E09000027,Richmond upon Thames
147,E08000005,Rochdale
148,E08000018,Rotherham
149,E06000017,Rutland
150,E08000006,Salford
151,E08000028,Sandwell
152,S12000026,Scottish Borders
153,E08000014,Sefton
154,E08000019,Sheffield
155,S12000027,Shetland Islands
156,E06000051,Shropshire
157,E06000039,Slough
158,E08000029,Solihull
159,E10000027,Somerset
160,S12000028,South Ayrshire
161,E06000025,South Gloucestershire
162,S12000029,South Lanarkshire
163,E08000023,South Tyneside
164,E06000045,Southampton 
165,E06000033,Southend-on-Sea
166,E09000028,Southwark
167,E08000013,St. Helens
168,E10000028,Staffordshire
169,S12000030,Stirling
170,E08000007,Stockport
171,E06000004,Stockton-on-Tees
172,E06000021,Stoke-on-Trent
173,E10000029,Suffolk
174,E08000024,Sunderland
175,E10000030,Surrey
176,E09000029,Sutton
177,W06000011,Swansea
178,E06000030,Swindon
179,E08000008,Tameside
180,E06000020,Telford and Wrekin
181,W06000014,The Vale of Glamorgan
182,E06000034,Thurrock
183,E06000027,Torbay
184,W06000020,Torfaen
185,E09000030,Tower Hamlets
186,E08000009,Trafford
187,E08000036,Wakefield
188,E08000030,Walsall
189,E09000031,Waltham Forest
190,E09000032,Wandsworth
191,E06000007,Warrington
192,E10000031,Warwickshire
193,E06000037,West Berkshire
194,S12000039,West Dunbartonshire
195,S12000040,West Lothian
196,E10000032,West Sussex
197,E09000033,Westminster
198,E08000010,Wigan
199,E06000054,Wiltshire
200,E06000040,Windsor and Maidenhead
201,E08000015,Wirral
202,E06000041,Wokingham
203,E08000031,Wolverhampton
204,E10000034,Worcestershire
205,W06000006,Wrexham
206,E06000014,York
